exposure_dose,focus_offset,line_edge_roughness,critical_dimension,defect_density
43.708610696262625,-0.5969742867210739,1.1595056088445743,87.52707628350187,3
95.56428757689245,-2.390304367469438,0.23348908942556534,76.39566912479931,5
75.87945476302646,-0.41222074502447015,4.725942898797722,84.35927437553491,2
63.8792635777333,0.9134737320174066,1.5686762942232697,44.07185231911645,2
24.041677639819287,0.5376299029498797,2.2129451166222935,41.85485666102862,0
24.03950683025824,0.4281862478105761,0.5731997179285342,30.389285026831587,1
15.227525095137953,-0.27999330187447974,4.18462164954646,72.4106614457459,3
87.95585311974416,-1.2790307362197864,0.13815916427965313,86.24803126882466,5
64.1003510568888,0.5152943216244674,4.169953810495483,41.21612070250059,3
73.7265320016441,-0.8342818100346248,0.701425063939834,68.21661452561273,1
11.85260448662222,2.184096733380456,4.432820563155761,74.78758555330666,1
97.29188669457949,0.570507208354516,3.648863186680787,85.6568541088834,3
84.91983767203796,-0.5806483025539511,0.8233513125365255,68.8116134410333,1
29.110519961044854,-0.6113852473886282,2.8290899642973404,88.21762396492514,3
26.364247048639054,-0.09294420661358828,1.5632815717760973,50.680388460752866,2
26.506405886809045,-0.23950192202174977,0.8911654945579173,50.99571202628446,0
37.381801866358394,1.1168337755299542,4.295910997055542,62.58075060086073,0
57.228078846901404,0.18641616974404632,2.017613832536147,53.01011286695443,2
48.87505167779042,-0.7316317389085281,1.9927185718269125,30.085543697251957,3
36.21062261782377,1.8904406851557827,0.8494333740331,73.90632150521924,1
65.06676052501416,0.04930833152022263,1.9153283804288934,75.103022488709,2
22.554447458683764,0.7688396759688968,4.358084231644251,74.81847628120623,1
36.29301836816963,-0.6082265074447593,1.8156435524481795,50.701239996628,1
42.97256589643225,0.3631156277445234,4.75801781249894,61.337368398670314,1
51.046298579533236,0.3111099911431952,4.731544496041938,51.598411090600166,3
80.66583652537122,-1.889649292096153,0.7244932965367301,30.962184001838747,1
27.970640394252378,2.01527511046064,0.8865562676132244,63.74693647628513,4
56.28109945722505,1.2906444609225471,4.3133703516594455,37.42563996504066,3
63.31731119758382,-0.39719531614598763,1.963804594623596,34.80247944548643,4
14.180537144799796,-1.1022697404558555,0.021869911415046683,75.32994412180723,2
64.67903667112945,0.347561613803552,1.369359098526855,30.57037214508634,1
25.347171131856236,0.08669769941439658,2.9881449659777997,87.54050661652357,1
